FI1.No,FI2.No,FI1.Yes,FI2.Yes,variable
No,No,Yes,Yes,flag_two
1314.77062,   0.00000, 703.00647,  10.01124,SE.Total.SURVEY_LU1_3U420
2416.28422,  11.84790,2408.47095,  14.23658,SE.Total.settlement0
317.33000,  0.00000,537.57178, 11.69571,SE.Total.settlement1
922.313488,  5.318208,837.128598, 12.832515,SE.Total.fao_class_name0
2329.78776,  10.58723,2492.48275,  13.22106,SE.Total.fao_class_name1
445.4127,  0.0000,767.9179,  0.0000,SE.Total.fao_class_name2
 98.01951,  0.00000,288.26085,  0.00000,SE.Total.fao_class_name3
2469.46258,  11.84790,2392.98233,  14.23658,SE.Total.lue0
570.28812,  0.00000,412.05606, 11.69571,SE.Total.lue1
2421.06253,  11.84790,2404.12125,  12.00184,SE.Total.lud0
242.4744,  0.0000,492.0132,  0.0000,SE.Total.lud1
