LU0.No,LU0.Yes,variable
No,Yes,flag_two
  4.029503,168.690050,CI.l(95%).Total.lue1
  63.05665,2355.18920,CI.l(95%).Total.lud0
  0.0000,172.3492,CI.l(95%).Total.lud1
  66.2215,2531.9434,CI.u(95%).Total.area
  0.0000,238.7854,CI.u(95%).Total.SURVEY_LC1_1A
 20.14752,507.71739,CI.u(95%).Total.SURVEY_LC1_1B
 33.98548,920.65949,CI.u(95%).Total.SURVEY_LC1_1C
 0.0000,29.2512,CI.u(95%).Total.SURVEY_LC1_1D
 12.08851,774.87909,CI.u(95%).Total.SURVEY_LC1_1E
 0.00000,32.23602,CI.u(95%).Total.SURVEY_LC1_1F
 0.00000,28.20652,CI.u(95%).Total.SURVEY_LC1_1G
0.000000,4.029503,CI.u(95%).Total.SURVEY_LC1_1H
  62.192,2121.285,CI.u(95%).Total.SURVEY_LU1_1U1
 0.00000,16.11801,CI.u(95%).Total.SURVEY_LU1_1U2
  4.029503,323.574738,CI.u(95%).Total.SURVEY_LU1_1U3
 0.00000,73.37675,CI.u(95%).Total.SURVEY_LU1_1U4
 0.00000,64.47205,CI.u(95%).Total.SURVEY_LC1_2A1
  0.0000,150.1363,CI.u(95%).Total.SURVEY_LC1_2A2
 0.00000,24.17702,CI.u(95%).Total.SURVEY_LC1_2A3
  0.0000,318.3307,CI.u(95%).Total.SURVEY_LC1_2B1
0.000000,8.059006,CI.u(95%).Total.SURVEY_LC1_2B2
 0.00000,20.14752,CI.u(95%).Total.SURVEY_LC1_2B3
 0.00000,12.08851,CI.u(95%).Total.SURVEY_LC1_2B4
  0.0000,124.9146,CI.u(95%).Total.SURVEY_LC1_2B5
 0.00000,12.08851,CI.u(95%).Total.SURVEY_LC1_2B7
 0.00000,12.08851,CI.u(95%).Total.SURVEY_LC1_2B8
20.14752, 0.00000,CI.u(95%).Total.SURVEY_LC1_2Bx
  0.0000,642.9708,CI.u(95%).Total.SURVEY_LC1_2C1
 21.51303,177.27064,CI.u(95%).Total.SURVEY_LC1_2C2
  8.904704,107.604173,CI.u(95%).Total.SURVEY_LC1_2C3
4.62034,0.00000,CI.u(95%).Total.SURVEY_LC1_2Cx
 0.00000,21.19219,CI.u(95%).Total.SURVEY_LC1_2D1
0.000000,8.059006,CI.u(95%).Total.SURVEY_LC1_2D2
 0.00000,97.55377,CI.u(95%).Total.SURVEY_LC1_2E1
  8.059006,648.750000,CI.u(95%).Total.SURVEY_LC1_2E2
 0.00000,29.05222,CI.u(95%).Total.SURVEY_LC1_2E3
4.029503,0.000000,CI.u(95%).Total.SURVEY_LC1_2Ex
 0.00000,32.23602,CI.u(95%).Total.SURVEY_LC1_2F4
 0.00000,12.08851,CI.u(95%).Total.SURVEY_LC1_2G1
 0.00000,16.11801,CI.u(95%).Total.SURVEY_LC1_2G2
0.000000,4.029503,CI.u(95%).Total.SURVEY_LC1_2H1
  28.20652,1245.11646,CI.u(95%).Total.SURVEY_LU1_2U11
 33.98548,872.13950,CI.u(95%).Total.SURVEY_LU1_2U12
0.000000,4.029503,CI.u(95%).Total.SURVEY_LU1_2U14
 0.00000,16.11801,CI.u(95%).Total.SURVEY_LU1_2U22
  0.0000,133.8193,CI.u(95%).Total.SURVEY_LU1_2U31
0.000000,8.059006,CI.u(95%).Total.SURVEY_LU1_2U32
 0.00000,12.67935,CI.u(95%).Total.SURVEY_LU1_2U33
0.000000,8.059006,CI.u(95%).Total.SURVEY_LU1_2U34
 0.00000,16.11801,CI.u(95%).Total.SURVEY_LU1_2U35
 0.00000,52.38354,CI.u(95%).Total.SURVEY_LU1_2U36
 4.029503,93.269408,CI.u(95%).Total.SURVEY_LU1_2U37
0.000000,4.029503,CI.u(95%).Total.SURVEY_LU1_2U41
 0.00000,69.34725,CI.u(95%).Total.SURVEY_LU1_2U42
 0.00000,48.35404,CI.u(95%).Total.SURVEY_LC1_3A11
 0.00000,16.11801,CI.u(95%).Total.SURVEY_LC1_3A12
 0.00000,52.97438,CI.u(95%).Total.SURVEY_LC1_3A21
 0.00000,97.55377,CI.u(95%).Total.SURVEY_LC1_3A22
 0.00000,24.17702,CI.u(95%).Total.SURVEY_LC1_3A30
  0.0000,124.9146,CI.u(95%).Total.SURVEY_LC1_3B11
0.000000,4.029503,CI.u(95%).Total.SURVEY_LC1_3B12
 0.00000,40.29503,CI.u(95%).Total.SURVEY_LC1_3B13
 0.00000,16.11801,CI.u(95%).Total.SURVEY_LC1_3B14
 0.00000,20.14752,CI.u(95%).Total.SURVEY_LC1_3B15
