SE11.No,SE12.No,SE21.No,SE22.No,SE23.No,SE31.No,SE32.No,SE33.No,SE11.Yes,SE12.Yes,SE21.Yes,SE22.Yes,SE23.Yes,SE31.Yes,SE32.Yes,SE33.Yes,variable
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
  188.61032, 1729.98942, 1417.23215,   61.44661,  310.11572, 7485.83141, 7081.77385,14553.65134, 3773.20494,24398.22436,22946.55988, 6198.51797,17184.16640,46734.05329,46616.47224,85813.28508,CI.u(95%).Total.fao_class_name1
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  71.42802, 845.63112, 725.05814, 300.43871,1085.18813,1838.64079,2075.01648,3622.93129,CI.u(95%).Total.fao_class_name2
   0.000000,   0.000000,   0.000000,   0.000000,   4.077953,   0.000000, 183.825422, 381.207573, 261.615270, 645.500591, 744.134858, 522.937218,1726.449575, 741.498438, 932.049013,1280.098389,CI.u(95%).Total.fao_class_name3
   236.0199,  2564.7412,  1719.7524,   219.5807,   952.6268,  7724.1488,  7431.9059, 14291.8347,  5927.1046, 37514.4626, 32390.8837, 13049.2281, 30580.5733, 60419.9512, 66412.1290,138764.7879,CI.u(95%).Total.lue0
   15.211858,   31.270403,   30.310433,    0.000000,    4.077953,   96.014034,  183.825422, 1184.345655, 1274.102735, 3972.382511, 2607.675071, 1539.656941, 4365.837349, 6045.588380, 5043.443144,14116.338773,CI.u(95%).Total.lue1
   248.9904,  2564.7046,  1735.4593,   219.5807,   956.7047,  7761.9485,  7513.3601, 15170.2106,  6591.6695, 39121.4716, 33277.7731, 13801.7441, 29887.7631, 62228.0557, 69370.9819,149028.6411,CI.u(95%).Total.lud0
   0.00000,  31.35678,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000, 544.84160,2303.22279,1640.13727, 721.19931,4467.31248,4157.13545,1971.91878,3247.41240,CI.u(95%).Total.lud1
0.076451363,0.061595682,0.102340565,0.232999794,0.149633926,0.079687229,0.072486272,0.055753939,0.002398252,0.003490577,0.004331611,0.002684936,0.003201091,0.008312014,0.006803220,0.005247227,CV.Total.area
NA,NA,NA,NA,NA,NA,NA,NA,0.02392077,0.07447153,0.05780746,0.09643655,0.10768808,0.07131381,0.11131516,0.07368069,CV.Total.SURVEY_LC1_1A
0.295111578,0.114953796,0.109932469,0.254865183,0.122157892,0.064088950,0.015110011,0.060076947,0.073058326,0.037099454,0.043620655,0.017499628,0.033200218,0.033333761,0.009046603,0.014193947,CV.Total.SURVEY_LC1_1B
0.059663145,0.073479671,0.125979046,0.469738816,0.576679601,0.083052613,0.074496213,0.055982913,0.005871931,0.008151348,0.008518936,0.026999659,0.020313318,0.014729165,0.013450807,0.010619491,CV.Total.SURVEY_LC1_1C
NA,NA,0.00000000,NA,NA,NA,0.96003441,0.34268483,0.06066294,0.10672477,0.04890377,0.33790382,0.22530516,0.09609040,0.04169700,0.02403315,CV.Total.SURVEY_LC1_1D
NA,0.48923802,0.00000000,NA,0.00000000,NA,NA,NA,0.02231447,0.03320483,0.03477351,0.05221411,0.06476562,0.06911684,0.08395312,0.07733427,CV.Total.SURVEY_LC1_1E
NA,0.00000000,NA,NA,NA,NA,NA,NA,0.14012956,0.09660973,0.10014666,0.13965269,0.21090943,0.13720755,0.04526388,0.03411359,CV.Total.SURVEY_LC1_1F
NA,NA,NA,NA,0.000000000,NA,NA,NA,0.000104820,0.003141912,0.007688762,0.007733503,0.003171771,0.006077837,0.005673661,0.021318647,CV.Total.SURVEY_LC1_1G
