EE0.No,EE0.Yes,variable
No,Yes,flag_two
   1.298674,1487.944826,CI.l(95%).Total.settlement1
0.0009507935,1.0893639769,CI.l(95%).Total.settl_pc
 1707.486,15868.023,CI.l(95%).Total.fao_class_name0
 3807.939,19690.246,CI.l(95%).Total.fao_class_name1
   0.000,1222.662,CI.l(95%).Total.fao_class_name2
-33.85413, 32.10805,CI.l(95%).Total.fao_class_name3
 5737.86,35928.63,CI.l(95%).Total.lue0
 -33.85413,1071.91949,CI.l(95%).Total.lue1
 5763.36,36700.03,CI.l(95%).Total.lud0
   1.298674,1004.343364,CI.l(95%).Total.lud1
 7343.426,39553.337,CI.u(95%).Total.area
  0.0000,994.0089,CI.u(95%).Total.SURVEY_LC1_1A
2230.802,4513.326,CI.u(95%).Total.SURVEY_LC1_1B
 5324.343,21555.885,CI.u(95%).Total.SURVEY_LC1_1C
   0.000,1609.077,CI.u(95%).Total.SURVEY_LC1_1D
  26.87374,7847.32209,CI.u(95%).Total.SURVEY_LC1_1E
  0.0000,725.4713,CI.u(95%).Total.SURVEY_LC1_1F
   0.00,2373.66,CI.u(95%).Total.SURVEY_LC1_1G
   0.000,1884.179,CI.u(95%).Total.SURVEY_LC1_1H
 7104.981,33175.398,CI.u(95%).Total.SURVEY_LU1_1U1
  0.0000,127.5749,CI.u(95%).Total.SURVEY_LU1_1U2
 150.6299,3342.9975,CI.u(95%).Total.SURVEY_LU1_1U3
 300.7458,4434.2248,CI.u(95%).Total.SURVEY_LU1_1U4
  0.0000,157.2108,CI.u(95%).Total.SURVEY_LC1_2A1
  0.0000,857.6487,CI.u(95%).Total.SURVEY_LC1_2A2
 0.00000,66.94398,CI.u(95%).Total.SURVEY_LC1_2A3
   0.000,2753.948,CI.u(95%).Total.SURVEY_LC1_2B1
 0.00000,88.54974,CI.u(95%).Total.SURVEY_LC1_2B2
  0.0000,706.8258,CI.u(95%).Total.SURVEY_LC1_2B3
  0.0000,566.3469,CI.u(95%).Total.SURVEY_LC1_2B4
  0.0000,776.4193,CI.u(95%).Total.SURVEY_LC1_2B5
