FI1.No,FI2.No,FI1.Yes,FI2.Yes,variable
No,No,Yes,Yes,flag_two
  0.0000,  0.0000,157.6518,  0.0000,SE.Total.SURVEY_LU1_3U330
 0.00000, 0.00000,36.04818, 0.00000,SE.Total.SURVEY_LU1_3U341
  0.0000,  0.0000,186.8928,  0.0000,SE.Total.SURVEY_LU1_3U350
  2.808185,  0.000000,587.748661,  0.000000,SE.Total.SURVEY_LU1_3U361
 0.00000, 0.00000,71.54673, 0.00000,SE.Total.SURVEY_LU1_3U362
 22.61137,  0.00000,326.49589, 11.69571,SE.Total.SURVEY_LU1_3U370
0,0,0,0,SE.Total.SURVEY_LU1_3U411
 0.00000, 0.00000,17.18314, 0.00000,SE.Total.SURVEY_LU1_3U413
 0.00000, 0.00000,10.26511, 0.00000,SE.Total.SURVEY_LU1_3U414
  0.0000,  0.0000,208.9405,  0.0000,SE.Total.SURVEY_LU1_3U415
 636.32797,   0.00000,1353.92965,  10.01124,SE.Total.SURVEY_LU1_3U420
1445.674621,   4.260062,1553.477674,  11.285876,SE.Total.settlement0
 22.61137,  0.00000,604.68836, 11.69571,SE.Total.settlement1
 314.110147,   4.260062,1127.586318,  12.416867,SE.Total.fao_class_name0
1402.39077,   0.00000,1892.37826,  10.48723,SE.Total.fao_class_name1
192.4736,  0.0000,865.4175,  0.0000,SE.Total.fao_class_name2
 22.77758,  0.00000,303.69459,  0.00000,SE.Total.fao_class_name3
1445.672244,   4.260062,1595.957558,  11.285876,SE.Total.lue0
 22.77758,  0.00000,692.35297, 11.69571,SE.Total.lue1
1445.849789,   4.260062,1531.184787,   4.382346,SE.Total.lud0
